;Veroeffentlichungs-Nummer;Erfinder;Anmelder/Inhaber
0;EP000003813292A1;LI SHUBO, CN;ADVANCED NEW TECHNOLOGIES CO LTD, KY
1;EP000003813292A1;ZHANG YIXIANG, CN;ADVANCED NEW TECHNOLOGIES CO LTD, KY
2;EP000003812920A1;LI HAILONG, CN;ADVANCED NEW TECHNOLOGIES CO LTD, KY
3;EP000003812920A1;YANG XUEQING, CN;ADVANCED NEW TECHNOLOGIES CO LTD, KY
4;EP000003812920A1;ZHANG ZHENYU, CN;ADVANCED NEW TECHNOLOGIES CO LTD, KY
5;EP000003806385A1;BORNE-PONS HUGO, IE;ACCENTURE GLOBAL SOLUTIONS LTD, IE
6;EP000003806385A1;FAYE ABDOULAYE, IE;ACCENTURE GLOBAL SOLUTIONS LTD, IE
7;EP000003786807A1;BHATTACHARYA ASMITA, IN;ACCENTURE GLOBAL SOLUTIONS LTD, IE
8;EP000003786807A1;KUMAR PRAVESH, IN;ACCENTURE GLOBAL SOLUTIONS LTD, IE
9;EP000003786807A1;MANOCHA PIYUSH, IN;ACCENTURE GLOBAL SOLUTIONS LTD, IE
10;EP000003786807A1;SAHA AVISHEK, IN;ACCENTURE GLOBAL SOLUTIONS LTD, IE
11;EP000003786807A1;SANGHVI PRASHANT, IN;ACCENTURE GLOBAL SOLUTIONS LTD, IE
12;EP000003786807A1;SHARMA RAKESH, IN;ACCENTURE GLOBAL SOLUTIONS LTD, IE
13;EP000003779848A1;MA BAOLI, CN;ADVANCED NEW TECHNOLOGIES CO LTD, KY
14;EP000003779848A1;ZHANG WENBIN, CN;ADVANCED NEW TECHNOLOGIES CO LTD, KY
15;EP000003779830A1;MA BAOLI, CN;ADVANCED NEW TECHNOLOGIES CO LTD, KY
16;EP000003779830A1;ZHANG WENBIN, CN;ADVANCED NEW TECHNOLOGIES CO LTD, KY
17;EP000003779829A1;YANG XINYING, CN;ADVANCED NEW TECHNOLOGIES CO LTD, KY
18;EP000003779756A1;ISOZU MASAAKI, JP;SONY CORP, JP
19;EP000003779756A1;TAKAHASHI KOKI, JP;SONY CORP, JP
20;EP000003779756A1;WATANABE KAZUHIRO, JP;SONY CORP, JP
21;EP000003779755A1;MUELLER JONAS, GB;FUJITSU LTD, JP
22;EP000003779748A1;ISOZU MASAAKI, JP;SONY CORP, JP
23;EP000003779748A1;TAKAHASHI KOKI, JP;SONY CORP, JP
24;EP000003779748A1;WATANABE KAZUHIRO, JP;SONY CORP, JP
25;EP000003779703A1;ISOZU MASAAKI, JP;SONY CORP, JP
26;EP000003779703A1;TAKAHASHI KOKI, JP;SONY CORP, JP
27;EP000003779703A1;WATANABE KAZUHIRO, JP;SONY CORP, JP
28;EP000003726779A1;PI BINGFENG, CN;FUJITSU LTD, JP
29;EP000003726779A1;SUN JUN, CN;FUJITSU LTD, JP
30;EP000003726779A1;ZHANG SHENBIN, CN;FUJITSU LTD, JP
31;EP000003709568A1;EL ABED HAITHEM, FR;NOKIA TECHNOLOGIES OY, FI
32;EP000003709568A1;KRIAA SIWAR, FR;NOKIA TECHNOLOGIES OY, FI
33;EP000003709568A1;PAPILLON SERGE, FR;NOKIA TECHNOLOGIES OY, FI
34;EP000003702931A1;no Inventor;BRITISH TELECOMM, GB
35;EP000003690789A1;FUJIMOTO SHINGO, JP;FUJITSU LTD, JP
36;EP000003690789A1;KAMAKURA KEN, JP;FUJITSU LTD, JP
37;EP000003690789A1;TAKEUCHI TAKUMA, JP;FUJITSU LTD, JP
38;EP000003690697A1;KITANO HIROAKI, JP;SONY CORP, JP
39;EP000003683711A1;ISOZU MASAAKI, JP;SONY CORP, JP
40;EP000003683711A1;TAKAHASHI KOKI, JP;SONY CORP, JP
41;EP000003683711A1;WATANABE KAZUHIRO, JP;SONY CORP, JP
42;EP000003683710A1;ISOZU MASAAKI, JP;SONY CORP, JP
43;EP000003683710A1;TAKAHASHI KOKI, JP;SONY CORP, JP
44;EP000003683710A1;WATANABE KAZUHIRO, JP;SONY CORP, JP
45;EP000003683707A1;ISOZU MASAAKI, JP;SONY CORP, JP
46;EP000003683707A1;TAKAHASHI KOKI, JP;SONY CORP, JP
47;EP000003683707A1;WATANABE KAZUHIRO, JP;SONY CORP, JP
48;EP000003683684A1;ISOZU MASAAKI, JP;SONY CORP, JP
49;EP000003683684A1;TAKAHASHI KOKI, JP;SONY CORP, JP
50;EP000003683684A1;WATANABE KAZUHIRO, JP;SONY CORP, JP
51;EP000003680795A1;FUJIMOTO SHINGO, JP;FUJITSU LTD, JP
52;EP000003680795A1;HIGASHIKADO YOSHIKI, JP;FUJITSU LTD, JP
53;EP000003680795A1;KAMAKURA KEN, JP;FUJITSU LTD, JP
54;EP000003680795A1;TAKEUCHI TAKUMA, JP;FUJITSU LTD, JP
55;EP000003678086A1;LAWRENSON MATTHEW, CH;SONY CORP, JP
56;EP000003678086A1;VAN DEN BERG JAN JASPER, CH;SONY CORP, JP
57;EP000003678086A1;WATANABE KAZUHIRO, JP;SONY CORP, JP
58;EP000003678086A1;WRIGHT CHRISTOPHER, GB;SONY CORP, JP
59;EP000003678084A1;BRENNAN MURPHY JAMES, US;CHICAGO MERCANTILE EXCHANGE INC, US
60;EP000003678084A1;CO RICHARD, US;CHICAGO MERCANTILE EXCHANGE INC, US
61;EP000003678084A1;MCCOURT TIMOTHY FRANCIS, US;CHICAGO MERCANTILE EXCHANGE INC, US
62;EP000003678084A1;PLANDOWSKI DAVID PAUL, US;CHICAGO MERCANTILE EXCHANGE INC, US
63;EP000003678084A1;RAFFERTY THOMAS PATRICK, US;CHICAGO MERCANTILE EXCHANGE INC, US
64;EP000003678084A1;RUTLEDGE BENJAMIN CARL, US;CHICAGO MERCANTILE EXCHANGE INC, US
65;EP000003678084A1;VICIOSO GIOVANNI, US;CHICAGO MERCANTILE EXCHANGE INC, US
66;EP000003678079A1;WANG HUSEN, CN;ALIBABA GROUP HOLDING LTD, KY
67;EP000003671516A1;GRISSA MOHAMED, US;NOKIA TECHNOLOGIES OY, FI
68;EP000003671516A1;WALID ANWAR, US;NOKIA TECHNOLOGIES OY, FI
69;EP000003660721A1;WANG HUSEN, CN;ALIBABA GROUP HOLDING LTD, KY
70;EP000003657352A1;MADHAVAN AJAY SUNDERAJAN, US;CHICAGO MERCANTILE EXCHANGE INC, US
71;EP000003651083A1;KITANO HIROAKI, JP;SONY CORP, JP
72;EP000003629518B1;BORNE-PONS HUGO, FR;ACCENTURE GLOBAL SOLUTIONS LTD, IE
73;EP000003629518B1;GIORDANO GIUSEPPE, FR;ACCENTURE GLOBAL SOLUTIONS LTD, IE
74;EP000003629518B1;RABENANDRASANA ANTOINE, FR;ACCENTURE GLOBAL SOLUTIONS LTD, IE
75;EP000003629518B1;SCHIATTI LUCA, FR;ACCENTURE GLOBAL SOLUTIONS LTD, IE
76;EP000003629212A1;POORNACHANDRAN RAJESH, US;INTEL CORP, US
77;EP000003629212A1;SMITH NED M, US;INTEL CORP, US
78;EP000003621013A1;ARAI YUSUKE, JP;HITACHI LTD, JP
79;EP000003621013A1;HIMURA YOSUKE, JP;HITACHI LTD, JP
80;EP000003621013A1;SATO TATSUYA, JP;HITACHI LTD, JP
81;EP000003618398A1;BORNE-PONS HUGO, IE;ACCENTURE GLOBAL SOLUTIONS LTD, IE
82;EP000003618398A1;GIORDANO GIUSEPPE, IE;ACCENTURE GLOBAL SOLUTIONS LTD, IE
83;EP000003618398A1;HAMOURMA NAIMA, IE;ACCENTURE GLOBAL SOLUTIONS LTD, IE
84;EP000003618398A1;SCHIATTI LUCA, IE;ACCENTURE GLOBAL SOLUTIONS LTD, IE
85;EP000003614325A1;HONG JAY WU, KR;COINPLUG INC, KR
86;EP000003614325A1;SUH MOON GJU, KR;COINPLUG INC, KR
87;EP000003614325A1;UHR JOON SUN, KR;COINPLUG INC, KR
88;EP000003614289A1;HONG JAY WU, KR;COINPLUG INC, KR
89;EP000003614289A1;LEE JU MIN, KR;COINPLUG INC, KR
90;EP000003614289A1;UHR JOON SUN, KR;COINPLUG INC, KR
91;EP000003611685A1;FISCHER THOMAS, DE;SIEMENS AG, DE
92;EP000003611685A1;HÖME STEPHAN, DE;SIEMENS AG, DE
93;EP000003611685A1;JUNG KONSTANTIN, DE;SIEMENS AG, DE
94;EP000003611685A1;KERSCHBAUM SVEN, DE;SIEMENS AG, DE
95;EP000003611685A1;VOLKMANN FRANK, DE;SIEMENS AG, DE
96;EP000003605946A1;KUMAR ABHINAV, DE;SAP SE, DE
97;EP000003605946A1;ROHATGI VIKAS, DE;SAP SE, DE
98;EP000003605445A1;ISOZU MASAAKI, JP;SONY CORP, JP
99;EP000003605445A1;LAWRENSON MATTHEW, CH;SONY CORP, JP
100;EP000003605422A1;KOGURE JUN, JP;FUJITSU LTD, JP
101;EP000003605422A1;SHIMA TSUNEKAZU, JP;FUJITSU LTD, JP
102;EP000003584654B1;HÖFIG KAI, DE;SIEMENS AG, DE
103;EP000003584654B1;KLEIN CORNEL, DE;SIEMENS AG, DE
104;EP000003584654B1;ROTHFELDER MARTIN, DE;SIEMENS AG, DE
105;EP000003584654B1;STURM MONIKA, AT;SIEMENS AG, DE
106;EP000003584654B1;ZAHORCAK VLADIMIR, SK;SIEMENS AG, DE
107;EP000003582168A1;EDWARDS JOSHUA, US;CAPITAL ONE SERVICES LLC, US
108;EP000003582168A1;MOSSOBA MICHAEL, US;CAPITAL ONE SERVICES LLC, US
109;EP000003570245A1;LIBERMAN STANISLAV, US;CHICAGO MERCANTILE EXCHANGE INC, US
110;EP000003570245A1;PIERCE RYAN DAVID, US;CHICAGO MERCANTILE EXCHANGE INC, US
111;EP000003570244A1;PHILLIPS JEREMY, US;CAPITAL ONE SERVICES LLC, US
112;EP000003570244A1;TRAN KURRY, US;CAPITAL ONE SERVICES LLC, US
113;EP000003564884A1;KLAEDTKE FELIX, DE;NEC LABORATORIES EUROPE GMBH, DE
114;EP000003557341A1;JEHL GAUTIER, DE;SIEMENS AG, DE
115;EP000003537363A1;MARTIN ROBERT, US;CAPITAL ONE SERVICES LLC, US
116;EP000003537363A1;MILLER WALTER AVERY, US;CAPITAL ONE SERVICES LLC, US
117;EP000003537363A1;SMITH BRADLEY W, US;CAPITAL ONE SERVICES LLC, US
118;EP000003531365A1;NAGANUMA KEN, JP;HITACHI LTD, JP
119;EP000003531365A1;SATO HISAYOSHI, JP;HITACHI LTD, JP
120;EP000003531365A1;SUZUKI TAKAYUKI, JP;HITACHI LTD, JP
121;EP000003531365A1;WATANABE DAI, JP;HITACHI LTD, JP
122;EP000003531365A1;YAMAYOSHI TOSHIROU, JP;HITACHI LTD, JP
123;EP000003531365A1;YOSHINO MASAYUKI, JP;HITACHI LTD, JP
124;EP000003522088A1;EL ABED HAITHEM, FR;NOKIA TECHNOLOGIES OY, FI
125;EP000003522088A1;SAYADI BESSEM, FR;NOKIA TECHNOLOGIES OY, FI
126;EP000003496332A1;ANDREINA SÉBASTIEN, DE;NEC LABORATORIES EUROPE GMBH, DE
127;EP000003496332A1;KARAME GHASSAN, DE;NEC LABORATORIES EUROPE GMBH, DE
128;EP000003477569A1;KARAME GHASSAN, DE;NEC LABORATORIES EUROPE GMBH, DE
129;EP000003477569A1;LI WENTING, DE;NEC LABORATORIES EUROPE GMBH, DE
130;EP000003477569A1;LUCAS DAVI, DE;NEC LABORATORIES EUROPE GMBH, DE
131;EP000003437007B1;EL-MOUSSA FADI, GB;BRITISH TELECOMM, GB
132;EP000003437007B1;SMITH KARL, GB;BRITISH TELECOMM, GB
133;EP000003432240A1;LIBERMAN STANISLAV, US;CHICAGO MERCANTILE EXCHANGE INC, US
134;EP000003432240A1;MADHAVAN AJAY SUNDERAJAN, US;CHICAGO MERCANTILE EXCHANGE INC, US
135;EP000003432240A1;PIERCE RYAN DAVID, US;CHICAGO MERCANTILE EXCHANGE INC, US
136;EP000003432146A1;GULLEY SEAN M, US;INTEL CORP, US
137;EP000003432146A1;PEFFERS SIMON N, US;INTEL CORP, US
138;EP000003428863A1;SILVERSTRE CARLOS, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
139;EP000003413252B1;HONG JAY WU, KR;COINPLUG INC, KR
140;EP000003413252B1;SONG JOO HAN, KR;COINPLUG INC, KR
141;EP000003413252B1;UHR JOON SUN, KR;COINPLUG INC, KR
142;EP000003413251A1;HONG JAY WU, KR;COINPLUG INC, KR
143;EP000003413251A1;SONG JOO HAN, KR;COINPLUG INC, KR
144;EP000003413251A1;UHR JOON SUN, KR;COINPLUG INC, KR
145;EP000003413225A1;AYIKARA MOHANDAS, US;CHICAGO MERCANTILE EXCHANGE INC, US
146;EP000003413225A1;BOUDREAULT JAMES, US;CHICAGO MERCANTILE EXCHANGE INC, US
147;EP000003413225A1;MCDANNEL GRAHAM, US;CHICAGO MERCANTILE EXCHANGE INC, US
148;EP000003413225A1;PILLAI VIJAY, US;CHICAGO MERCANTILE EXCHANGE INC, US
149;EP000003413225A1;PUTNAM BLUFORD, US;CHICAGO MERCANTILE EXCHANGE INC, US
150;EP000003413225A1;WU QIFAN, US;CHICAGO MERCANTILE EXCHANGE INC, US
151;EP000003396576B1;ZHANG ZHIHUI, CN;SONY CORP, JP
152;EP000003382637A1;ISOZU MASAAKI, JP;SONY CORP, JP
153;EP000003382591B1;DANIEL JOSHUA, GB;BRITISH TELECOMM, GB
154;EP000003382591B1;DU XIAOFENG, GB;BRITISH TELECOMM, GB
155;EP000003382591B1;DUCATEL GERY, GB;BRITISH TELECOMM, GB
156;EP000003379408A1;MANDAL AVRADIP, US;FUJITSU LTD, JP
157;EP000003379408A1;MONTGOMERY HART, US;FUJITSU LTD, JP
158;EP000003379408A1;ROY ARNAB, US;FUJITSU LTD, JP
159;EP000003376453A1;PIANESE FABIO, FR;NOKIA TECHNOLOGIES OY, FI
