"		lfd. Nummer";Veroeffentlichungs-Nummer;Anmeldedatum;Erfinder;Anmelder/Inhaber;Titel;Zusammenfassung;Länderkürzel;Land;Prozessstand;Anmelderländerkürzel;Anmelderland
1;AU002018100999A4;17.07.2018;"CHERKAS RUSLAN; PAVLENKO IVAN; SASHIN SERGEY; TCHERKAS DMITRI; VASILENKO ALEX; WILLIAMS ELISE";"CHERKAS RUSLAN; PAVLENKO IVAN; SASHIN SERGEY; TCHERKAS DMITRI; VASILENKO ALEX; WILLIAMS ELISE"; [EN] Integration of Cryptocurrency Splitting Technology, Highly Scalable Blockchain Network and Mirror Advertising Technology for transparency of Business Operations and Taxation; [EN]  We have developed Software named Crypto Split Technology (CST) to divide received payment for sold item (good or service) into parts, immediately transact the parts and register all transactions to the electronic wallets of the Cryptocurrency recipients on Highly Scalable Blockchain Network (HSBN) for Taxation purposes without bank facilities. Each part is calculated as a percentage of the payment received for the item for sale with finance in accordance with recommendation of Service Providers and business regulations. We used Smart Contracts (SC), Blockchain Technology (BT) to digitalize the sale conditions and automatically split cryptocurrency into parts depending on which web page (Service Provider or Affiliate Marketing recipient of Cryptocurrency) the sale was initiated from. CST allows searching of Cryptocurrency recipients on HSBN and retrieving their summarized financial reports with digital guarantee for legality transparency and logistics of business operations and ...;AU;Australien;A;;#NV
2;CN000211015581U;23.10.2019;CHEN GUOMIN;CHEN GUOMIN; [EN] The universal IC electronic seal and transaction machine are suitable for digital currency and blockchain transactions;" [EN]  The utility model discloses a general IC electronic seal and a transaction machine suitable for digital currency and blockchain transactions. The electronic seal comprises a built-in kernel module fordigital storage, an IC chip and a contact magnetic ring. The IC chip terminal is embedded in the central position of one end surface of the seal body; the magnetic rings are embedded on the same endsurface of the terminal; the utility model further discloses a transaction machine matched with the general IC electronic seal and suitable for digital currency and blockchain transaction. The integrated seal body assembly combining the kernel module and the IC chip function is novel in form, convenient to carry and easy to operate, and the built-in kernel module not only has the functions of digital currency and blockchain transaction and currency direct access, but also can be compatible with the use function of an all-purpose card of an urban IC card; total cost is extremely low, and ...";CN;China;U;;#NV
3;CN000112001714A;28.07.2020;"GUO JIANWEI; HU XIANGYI; XU GUANNING";HU XIANGYI; [EN] Digital currency implementation method based on blockchain technology;" [EN]  The invention discloses a digital currency implementation method based on a blockchain technology. A digital currency technology architecture combining a central transaction and a centerless transaction is adopted. Point-to-point transactions, signing the transaction list by adopting a private key; a vertical authentication technology is used to carry out secondary signature on a transaction order. Payment is executed through the transaction list signed by the public key; center transaction, a transaction order is signed by adopting a vertical authentication technology; payment is executed through the transaction order signed and verified by the verification center; the invention discloses an encryption system for each node end of a digital currency blockchain. Signature verification is carried out on the signature of the transaction order by adopting a vertical authentication technology; the method comprises the following steps: establishing 200 verification centers and 400 distributed ...";CN;China;A;;#NV
4;CN000111786817A;12.06.2020;"GUO RUIWEI; LING XINTONG; WANG JIAHENG; YUE YUWEI; ZHANG BOWEN";UNIV SOUTHEAST; [EN] Safe high-speed data channel in blockchain wireless access network and design method thereof;" [EN]  The invention discloses a safe high-speed data channel in a blockchain wireless access network and a design method thereof. The safe high-speed data channel comprises a lightning bidirectional transaction channel, a revocable sequence expiration contract, a hash time lock and a resource access code. According to the safe high-speed data channel design method provided by the invention, when a useris allowed to request a service from a wireless resource provider in a blockchain wireless access network, a transaction process of virtual currency and a wireless resource access code is carried outoutside a blockchain; according to the design method provided by the invention, the transaction process is allowed to break away from blockchain supervision briefly, more efficient and stable money-code transaction can be supported, and higher safety performance is obtained; according to the method, the trust crisis of virtual currency and resource access code transactions in a blockchain wirelessaccess ...";CN;China;A;;#NV
5;CN000111275421A;20.01.2020;"CHEN XIUQIN; DENG JINGYU; FAN ZIDAO; GAO FENG; LIAN RIJIN";XIAMEN SHUNSHI GONGSHI INFORMATION TECH CO LTD; [EN] Financial management information chaining method based on block chain;" [EN]  The invention discloses a financial information chaining method based on a block chain, and the method comprises the following steps that a financial institution pays deposit to a legal currency receiving node, and submits an intelligent contract element of a financial product; after the legal currency receiving node confirms that the deposit is received, the legal currency submits a correspondingfinancial contract transaction to the auditing node; after signing the financial contract transaction, the auditing node synchronizes the financial contract transaction to the blockchain, and returnsa hash value of the electronic financial contract to the financial client; the user purchases a financial product through the financial client, the financial client generates a payment order and sends the payment order to the legal currency payment system, and meanwhile, the payment order number and the multi-signature number of the electronic financial contract corresponding to the financial ...";CN;China;A;;#NV
6;CN000110992029A;02.12.2019;"CHEN LINGLONG; JIA LINPENG; LI WENLIN; LIU YAN'AN; SU YUMENG; SUN YI; YU LEI; ZHANG JUN";INST COMPUTING TECH CAS; [EN] Blockchain management system and method;" [EN]  The invention provides a node authority management method and system in a block chain network, block chain nodes are divided by authority, and different authorities correspond to different examinationmanagement schemes and different functions. Through authority division, nodes are divided into signer nodes, common account nodes and super account nodes, and the signer nodes are responsible for packaging transactions in the block chain into blocks and responsible for authority management of the super account nodes and the common account nodes; wherein the common account node is responsible fortransaction transfer between accounts; and the super account node is responsible for providing currency reserves for fund circulation in the block chain. And through node permission division, better division and cooperation among the nodes can be guaranteed, and high-speed and safe operation of the block chain is realized. The node permission is written into the block chain in a digital form, ...";CN;China;A;;#NV
7;CN000110992010A;06.12.2019;"DAI WENHAO; FAN GUANG; FU MAOMAO; GU XIAOZHUO; WANG ZILIANG";INST INF ENG CAS; [EN] Digital currency total issuing amount control method and verification method;" [EN]  The invention discloses a digital currency total issuing amount control method and a digital currency total issuing amount verification method. The issuing method comprises the following steps that: 1) a central bank generates corresponding identity authentication private keys sk1 and public keys pk1 for each set cash issuing bank according to the identity information of each cash issuing bank, and sends the identity authentication private keys sk1 and the public keys pk1 to the corresponding set cash issuing banks through a secret transmission channel; private key skx and public key pkx usedin a blockchain are randomly generated when each set cash issuing bank issues cash each time, and the private key of each cash issuing bank is SK=(sk1, skx), and the public key of each cash issuing bank is PK=(pk1, pkx); 2) the cash issuing banks perform multi-receiver signcryption on cash issuing amounts and the identities of the cash issuing banks, and attach signcryption information to cash ...";CN;China;A;;#NV
8;CN000110895767A;13.09.2018;ZHANG JIANZHONG;ZHANG JIANZHONG; [EN] Multi-transaction system;" [EN]  The invention relates to a multi-transaction system. The system comprises a transaction management platform, a fund flow transaction platform, an automatic selling platform and a transaction record platform. The fund flow transaction platform is connected with the transaction management platform and the transaction record platform. The cash flow transaction platform collects cash or electronic currencies from multiple sources and converts the cash or the electronic currencies into autonomous electronic currencies. The fund flow transaction information of the fund flow transaction platform is transmitted to the transaction record platform through the transaction management platform; the transaction record platform records cash flow transaction content through a blockchain technology. The automatic selling platform is connected with the transaction management platform and the transaction history platform, the automatic selling platform transactions commodities sold by the automatic ...";CN;China;A;;#NV
9;CN000108881164A;15.05.2018;JIANG FENG;JIANG FENG; [EN] Multi-center finite field blockchain authentication system with sovereign currency issuing mechanism and blockchain issuing mechanism;" [EN]  The invention discloses a multi-center finite field blockchain authentication system with a sovereign currency issuing mechanism and a blockchain issuing mechanism. An access permission mechanism is set, so that the order of the financial industry is controllable, and the security of transactions is ensured. By adoption of the principle of random majority, the reliability of the blockchain authentication system is given play, and it is ensured that the transactions are real. A mining mechanism"" and a ""workload"" proof mechanism of an existing bitcoin system are abandoned. The mechanisms of ""participation"" and ""health value"" are introduced. Therefore, the blockchain system is pushed to run in a healthy and continuous manner. The number of financial authentication centers is limited, and only (servers) of the financial authentication centers participate in the blockchain authentication. Account holders (customers of banks) can only access the financial authentication centers and ...""";CN;China;A;;#NV
10;CN000108846666A;21.06.2018;"HU ZHENSHENG; LI KEHAI; LIU MINGFAN";ECOLOGICAL BALL TECH DEVELOPMENT PRIVATE INVESTMENT CO LTD; [EN] Ecological ball dual-currency mode economic system;" [EN]  The invention discloses an ecological ball dual-currency mode economic system, and relates to the field of a blockchain economic mode. The ecological ball dual-currency mode economic system is used for solving a problem that token money price is high in volatility and unstable so as to block commercial large-scale application landing of a blockchain. The ecological ball dual-currency mode economicsystem comprises a dual-currency management system, a user terminal and a management terminal; the dual-currency management system is provided with an ABA layer and a BALL layer; ABAs are value mediaand mean value circulation in an ecological-ball ecological system and acquisition for an ecological system participation right; BALLs are currency media and mean cost which needs to be consumed whenan application on the ecological ball blockchain operation system executes transactions and intelligent contracts; the ABAs can automatically generate the BALLs, and a generation rate of the BALLs ...";CN;China;A;;#NV
11;CN000108470278A;13.03.2018;THE INVENTOR HAS WAIVED THE RIGHT TO BE MENTIONED;CHENGDU LINGGUANG QUANTUM TECH CO LTD; [EN] Blockchain Token across-chain and online to offline transaction method;" [EN]  The invention discloses a blockchain Token across-chain and online to offline transaction method, which is characterized in that digital currency, digital credit indexes, smart contracts and digital credit assets are used in the blockchain, and the digital credit indexes are used for calculating the exchange rate between the digital currency and legal currency, the smart contracts are used for blockchain Token across-chain and online to offline transactions, the digital credit assets are used to carry the credit value of the blockchain, the exchange ratio of the digital currency to the legal currency has a certain linear relationship with the digital credit indexes, and the digital credit asset price and the digital credit indexes maintain a certain non-linear relationship. The method of the invention can realize the stable relationship between the Token price and the legal currency, and thus can widely use the Token for circulation and transaction; the capacity and attractiveness ...";CN;China;A;;#NV
12;CN000108197969A;07.12.2017;"HAN DAFENG; MOU QINYU; WANG HAIBO";UNIV BEIJING JIAOTONG; [EN] D2D reward sharing system based on blockchain and implementation method;" [EN]  The invention provides a D2D reward sharing system based on a blockchain. The system comprises a content request module, a base station, a reward payment module and a blockchain module. The content request module is used for requesting a specific content which needs to be acquired by a user. The base station searches a content provider according to the specific content requested by the content request module. The reward payment module uses a digital currency mode to carry out reward payment on the blockchain module and the content provider. The blockchain module is used to record the behaviorcondition of the content provider during a sharing process in the system. In the invention, through a reasonable excitation mechanism, the participation enthusiasm of a D2D user is increased; throughusing a blockchain technology, the historical behavior of the user can be guaranteed to be recorded and not to be tampered so that a trust problem among the users is solved; and through using a ...";CN;China;A;;#NV
